City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
288,viqueque,-8.8673,126.3658,74.39,91,100,3.69,TL,1740249709
289,felipe carrillo puerto,19.5833,-88.05,80.55,72,29,5.88,MX,1740249710
290,zaozersk,69.4005,32.4476,34.75,97,100,22.84,RU,1740249712
291,telc,49.1842,15.4528,33.28,70,0,12.01,CZ,1740249713
292,dunedin,-45.8742,170.5036,55.8,82,71,8.01,NZ,1740249715
293,aasiaat,68.7098,-52.8699,-3.51,100,100,6.06,GL,1740249716
294,sidney,-33.8679,151.2073,68.36,83,5,1.99,AU,1740249618
295,sur,22.5667,59.5289,76.48,69,1,6.42,OM,1740249718
296,cedar city,37.6775,-113.0619,45.39,47,20,3.0,US,1740249719
297,jinchang,38.4953,102.1739,19.63,22,99,7.61,CN,1740249720
298,cambria,35.5641,-121.0808,60.06,78,74,3.0,US,1740249721
299,san julian,21.0167,-102.1667,74.5,27,95,3.44,MX,1740249723
300,fasa,28.9383,53.6482,51.04,54,0,4.61,IR,1740249724
301,cill airne,52.05,-9.5167,50.05,76,20,9.22,IE,1740249725
302,bothaville,-27.3887,26.617,72.14,59,47,4.79,ZA,1740249726
303,quellon,-43.1167,-73.6167,62.13,69,100,8.75,CL,1740249727
304,motueka,-41.1333,173.0167,55.09,75,2,6.4,NZ,1740249728
305,angaur state,6.906,134.13,82.06,80,100,18.57,PW,1740249729
306,stettler,52.3168,-112.7186,32.7,96,58,5.41,CA,1740249730
307,nuuk,64.1835,-51.7216,20.01,79,100,6.91,GL,1740249731
308,hpa-an,16.8906,97.6333,74.3,66,12,0.72,MM,1740249733
309,karratha,-20.7377,116.8463,86.65,60,6,1.19,AU,1740249734
310,robbah,33.2797,6.9098,62.24,49,0,5.59,DZ,1740249735
311,yemetsk,63.4721,41.7941,23.07,93,83,7.61,RU,1740249736
312,tobruk,32.0836,23.9764,53.2,55,97,11.12,LY,1740249738
313,mil'kovo,55.6078,37.7956,15.94,91,5,2.91,RU,1740249739
314,acapulco de juarez,16.8634,-99.8901,85.82,74,0,10.36,MX,1740249557
315,uirauna,-6.5183,-38.4122,97.92,23,51,5.73,BR,1740249741
316,mezhdurechenskiy,59.6,65.9333,2.84,98,27,4.0,RU,1740249743
317,newman,37.3138,-121.0208,63.03,62,33,3.42,US,1740249744
318,totness,5.8833,-56.3167,82.51,68,28,12.15,SR,1740249745
319,luderitz,-26.6481,15.1594,63.9,88,0,9.13,NA,1740249746
320,vilyuysk,63.7553,121.6247,0.37,99,100,2.3,RU,1740249748
321,andilamena,-17.0167,48.5833,66.11,98,100,1.9,MG,1740249749
322,sierra grande,-41.606,-65.3557,95.74,12,1,11.54,AR,1740249519
323,jiagedaqi,50.4167,124.1167,-9.18,99,15,4.27,CN,1740249752
324,yeppoon,-23.1333,150.7333,74.14,72,63,17.18,AU,1740249753
325,dubbo,-32.25,148.6167,66.33,82,0,8.05,AU,1740249754
326,greenville,35.6127,-77.3663,46.15,46,0,3.44,US,1740249755
327,ascension,30.2169,-90.9001,57.06,49,93,4.54,US,1740249756
328,plastun,44.7561,136.2939,7.16,67,0,8.77,RU,1740249757
329,saint-joseph,-21.3667,55.6167,82.78,85,100,12.82,RE,1740249758
330,kovdor,67.5662,30.4758,33.93,98,100,11.41,RU,1740249759
331,bich'vinta,43.1592,40.3378,35.78,58,96,2.33,GE,1740249761
332,aitape,-3.1374,142.3475,75.58,83,100,4.52,PG,1740249762
333,teknaf,20.8624,92.3058,69.26,64,0,8.48,BD,1740249763
334,sumberpucung,-8.1586,112.4829,69.12,99,100,5.21,ID,1740249764
335,guarapari,-20.6667,-40.4975,82.15,69,0,12.97,BR,1740249765
336,yanykurgan,43.915,67.2481,49.1,57,100,18.16,KZ,1740249766
337,galliano,29.4422,-90.2992,55.4,50,100,10.36,US,1740249767
338,anina,45.0794,21.8569,21.16,62,100,6.69,RO,1740249769
339,kaga bandoro,6.9896,19.1874,92.08,22,99,2.66,CF,1740249770
340,nar'yan-mar,67.6713,53.087,22.77,91,100,16.17,RU,1740249771
341,east london,-33.0153,27.9116,70.74,88,0,3.44,ZA,1740249772
342,sheki,41.1919,47.1706,23.11,83,100,4.36,AZ,1740249773
343,tolanaro,-25.0319,46.9987,77.07,78,75,16.11,MG,1740249774
344,kiselevsk,53.99,86.6621,14.7,97,100,1.88,RU,1740249775
345,bardai,11.65,7.2333,81.81,14,7,9.13,NG,1740249776
346,magong,23.5654,119.5863,61.0,88,100,34.69,TW,1740249778
347,kilju,40.9642,129.3278,12.61,64,0,5.95,KP,1740249828
348,fagersta,60.0042,15.7932,37.42,99,100,8.41,SE,1740249829
349,turrialba,9.9047,-83.6835,81.46,81,95,6.89,CR,1740249830
350,new norfolk,-42.7826,147.0587,66.92,82,100,2.57,AU,1740249831
351,nuku'alofa,-21.1333,-175.2,79.14,89,20,10.36,TO,1740249832
352,gubkinskiy,64.434,76.5026,-4.02,85,4,15.73,RU,1740249833
353,saldanha,-33.0117,17.9442,65.91,94,15,12.01,ZA,1740249835
354,pacific grove,36.6177,-121.9166,65.64,76,68,5.01,US,1740249836
355,wismar,53.9,11.4667,47.25,77,100,11.27,DE,1740249837
356,abyek,36.0667,50.55,32.86,100,100,3.02,IR,1740249838
357,mocimboa,-11.3167,40.35,78.94,82,74,10.87,MZ,1740249839
358,lebu,-37.6167,-73.65,68.11,70,1,7.27,CL,1740249840
359,maceio,-9.6658,-35.7353,89.04,51,40,13.8,BR,1740249888
360,saipan,15.1355,145.701,81.3,77,75,18.41,MP,1740249842
361,esmeraldas,-19.7625,-44.3139,81.19,50,67,1.41,BR,1740249893
